Stranci

P!nk - Just Give Me A Reason  kreće iz Dmol
Bill Withers - Ain't No Sunshine  kreće iz Cismol7
Rihanna - Stay  C
Donna Summer - Hot Stuff  Emol
ABBA - Gimme! Gimme! Gimme!  Hmol
Melanie Fiona - Monday Morning  Bmol
Eric Clapton - Layla  Fismol
Ben E. King - Stand By Me  A
Adele - Rolling in the Deep  A
Jessie J - Price Tag  F
Eurythmics - Sweet Dreams  Cmol
Ruslana - Wild Dances  Fismol
glimpse of us
Toto - Africa Hmol
Bruno Mars - Grenade  Cmol
Bruno Mars - Just The Way You Are  Cmol iz Dis
Bruno Mars - When I Was Your Man  Original
Adele - Set Fire to the Rain  Dmol
Rihanna - Umbrella  Bmol, iz Fis
Amy Macdonald - This is the Life  Cismol
Ricchi E Poveri - Sarà perché ti amo  Amol iz C
Ava Max - Kings & Queens  Hmol
Katy Perry - Hot N Cold  F
Meghan Trainor - NO  Cismol, iz A
ZAZ - Je veux  Dmol
Jennifer Lopez - Ain't Your Mama  Gismol
Red Hot Chili Peppers - Snow  Hmol
P!nk - Perfect  F
Sting - Englishman In New York  H iz Emola (cis)
Adele - Someone Like You  A
Helena Paparizou - My Number One  Cmol
La Casa De Papel - Bella Ciao  Valjda  E
Bon Jovi - It's My Life  Original
Ed Sheeran - Shape of You  !!!
Shakira - Whenever, Wherever  Cismol
Toto Cutugno - L'italiano  iz Fis
Britney Spears - Toxic  Amol
Michael Jackson - Billie Jean  kreće Fis
Camila Cabello - Havana  Gmol
Camila Cabello - Señorita  Gmol
Sia - Unstoppable  Emol
Rihanna - Diamonds  Hmol iz G
Adele - Hello  Fmol
Jennifer Lopez - On The Floor  Dmol
Gloria Gaynor - I Will Survive  iz Fismol
Gloria Gaynor - Can't take my eyes off you  ???
Roxette - Listen To Your Heart  ???
Lady Gaga - Poker Face  Fismol
Lady Gaga - Paparazzi  Gmol
Lady Gaga - Alejandro  Hmol
Nothing Breaks Like a Heart  ?

?
Charlie Puth - We Don't Talk Anymore


Domaće balade

Nina Badrić - Dodiri od stakla  Cmol
Bijelo Dugme - Evo, zakleću se  A!
Bijelo Dugme - Nakon svih ovih godina  G??
Petar Grašo - Ako te pitaju  D
Nataša Bekvalac - Nikotin  Dmol
Zdravko Čolic - Prava stvar  Dmol
Nataša Bekvalac - Ponovo  Hmol
Boris Režak - Pokora  D
Tijana Dapčević - Negativ  Dmol
Aleksandra Radović - Čuvaj moje srce  Amol
Dino Merlin - Moj je život Švicarska  Cmol
Dino Merlin - Kad si rekla da me voliš  Amol !!!
Neverne Bebe - Da Ima Nas  Hmol
Nina Badrić - Takvi kao ti  Cismol
Oliver Dragojević - Cesarica  D
Oliver Dragojević - U ljubav vjere nemam  D
Željko Joksimović - Nije Ljubav Stvar !
Željko Joksimović - Libero  Cmol
Toše Proeski - Mjesečina  iz Amol
Toše Proeski i Antonija Šola - Volim osmeh tvoj  Dm kreće iz C
Toše Proeski - Ledena  G
Željko Samardžić - Grlica  Amol
Saša Kovačević - Piši propalo  Cismol
Viktorija - Samo teraj ti po svome  C
Viktorija - Barakuda  Hmol
Tijana Dapčević - Ona to zna  Hmol
Goca Tržan - Haljina  Hmol
Parni valjak - Zastave  Hmol
Zana - Vlak  H pa F
Goca Tržan - Zagrli  Cmol
Galija - Trube   ???   čini mi se Amol
Galija - Da me nisi   D
Ivana Jordan - Svetlo koje trazim   ???mislim Amol


Kulminacija blok

Dino Merlin - Sredinom  Cmol
Željko Joksimović - Varnice  Amol
Željko Joksimović - Vreteno  Hmol
Zdravko Čolić - Pusti pusti modu  Hmol
Zdravko Čolić - Glavo luda  Hmol
Željko Joksimović - Tanana  Cmol
Bebi Dol - Brazil  Hmol
Željko Joksimović - Drska ženo plava  Cmol
Nataša Bekvalac - Mali signali  Dmol
Jelena Rozga - Bižuterija  Hmol
Jelena Rozga - Nirvana  Hmol
Zdravko Čolić - Mjerkam te, mjerkam  C
Zdravko Čolić - Okano  Emol
Zdravko Čolić - Mađarica  Cmol
Čaje šukarije  !
Goca Tržan - Stoperka  Dmol
Minea - Rano  D
Magazin - Dani su bez broja  Cismol
Magazin - Oko moje sanjivo  A
Bijelo dugme - Lipe cvatu  Emol
Bijelo dugme - Bitanga i princeza  iz C
Severina - Imaš pravo  iz Emol
Dženan Lončarević - Loša  Amol
Dino Merlin - Hitna  Cmol
Željko Samardžić - Nisi ti za male stvari  Amol
Zana - Dodirni mi kolena  Hmol
Zana - Mladiću moj  D
Magazin - Ne tiče me se  E

Pop

Flamingosi - Ljubav  Emol
Flamingosi - Obala  Amol
Flamingosi - Srce (S Tobom Bilo Gde)  Cismol
Magazin - Gutljaj vina  D
Magazin - Minus i plus  Dmol
Luna - Šećeru  Cismol
Severina - Uzbuna  Hmol
Severina - Tarapana  Gismol
Goca tržan - Strašilo  Gismol
Zdravko Čolić - Malo pojačaj radio  H
Zdravko Čolić - Kad pogledaš me preko ramena  A
Saša Kovačević - Lapsus  Dmol
Saša Kovačević - Slučajno  Hmol, iz Dis
Saša Kovačević - Noć do podne  Hmol
Saša Kovačević - Zamalo tvoj  Hmol
Saša Kovačević - Temperatura  Amol
Toni Cetinski - Blago onom ko te ima  Dmol
Goca Tržan - Gluve usne  Amol
Dženan Lončarević - Cvete Beli  Amol
Željko Samardžić - Udala se moja crna draga  Hmol
Željko Samardžić - 9000 metara  Amol
Marija Mikić - Jul  Dmol
Miligram - 21. Vek  Fismol
Miligram - Ludi petak  A
Miligram - Vrati mi se nesrećo
Nataša Bekvalac - Original  Gismol, iz Cis
Nataša Bekvalac - 300 stepeni  ???
Nataša Bekvalac (Cover) - Soba 23  Cm iz Fmol
Tijana Dapčević - Ovo je zemlja mojih snova  C
Amadeus Band - Lažu te  Hmol
Amadeus Band - Nije svejedno  Amol
Amadeus Band - 100%  Emol  kreće iz C
Amadeus Band - Kupi me  Hm



90

